absX;absY;absZ;relX;relY;relZ
-43.70;34.90;4.00;0.00;0.00;4.00
43.70;36.50;4.00;0.00;1.60;4.00
61.60;53.50;4.00;17.90;18.60;4.00
73.10;53.50;4.00;29.40;18.60;4.00
73.10;50.50;4.00;29.40;15.60;4.00
76.60;50.50;4.00;32.90;15.60;4.00
76.60;53.30;4.00;32.90;18.40;4.00
79.70;53.30;4.00;36.00;18.40;4.00
79.70;50.70;4.00;36.00;15.80;4.00
83.40;50.70;4.00;39.70;15.80;4.00
83.40;53.10;4.00;39.70;18.20;4.00
88.20;53.10;4.00;44.50;18.20;4.00
102.10;34.10;4.00;58.40;-0.80;4.00
71.70;34.10;4.00;28.00;-0.80;4.00
56.80;41.20;4.00;13.10;6.30;4.00
65.60;44.00;4.00;21.90;9.10;4.00
